公司代號,公司名稱,營利事業統一編號
2480,敦陽科技股份有限公司,84218848
2481,強茂股份有限公司,22145016
2482,連宇股份有限公司,38430938
2483,百容電子股份有限公司,52753108
2484,希華晶體科技股份有限公司,22771229
2485,兆赫電子股份有限公司,12320400
2486,一詮精密工業股份有限公司,35866232
2488,漢平電子工業股份有限公司,68889236
2489,瑞軒科技股份有限公司,84929896
2491,吉祥全球實業股份有限公司,89380545
2492,華新科技股份有限公司,19004316
2493,揚博科技股份有限公司,30929883
2495,普安科技股份有限公司,84166074
2496,卓越成功股份有限公司,22099786
2497,怡利電子工業股份有限公司,59334664
2498,宏達國際電子股份有限公司,16003518
2499,東貝光電科技股份有限公司,84412694
2501,國泰建設股份有限公司,3374306
2504,國產建材實業股份有限公司,24060203
2505,國揚實業股份有限公司,11603817
2506,太平洋建設股份有限公司,11099009
2509,全坤建設開發股份有限公司,4921056
2511,太子建設開發股份有限公司,72058206
2514,龍邦國際興業股份有限公司,22817273
2515,中華工程股份有限公司,75094900
2516,新亞建設開發股份有限公司,11762504
2520,冠德建設股份有限公司,30900892
2524,京城建設股份有限公司,6667446
2527,宏璟建設股份有限公司,22344508
2528,皇普建設股份有限公司,81271967
2530,大華建設股份有限公司,11059409
2534,宏盛建設股份有限公司,22221180
2535,達欣工程股份有限公司,18997007
2536,宏普建設股份有限公司,23113054
2537,聯上開發股份有限公司,22659295
2538,基泰建設股份有限公司,12251662
2539,櫻花建設股份有限公司,22491640
2540,愛山林建設開發股份有限公司,22190686
2542,興富發建設股份有限公司,12305479
2543,皇昌營造股份有限公司,34342717
2545,皇翔建設股份有限公司,86379024
2546,根基營造股份有限公司,43876760
2547,日勝生活科技股份有限公司,12373243
2548,華固建設股份有限公司,23358846
2597,潤弘精密工程事業股份有限公司,66394146
2601,益航股份有限公司,3353007
2603,長榮海運股份有限公司,11337775
2605,新興航運股份有限公司,11812103
2606,裕民航運股份有限公司,47067419
2607,長榮國際儲運股份有限公司,4406559
2608,嘉里大榮物流股份有限公司,51015548
2609,陽明海運股份有限公司,4200199
2610,中華航空股份有限公司,11145904
2611,志信國際股份有限公司,33853232
2612,中國航運股份有限公司,43778070
2613,中國貨櫃運輸股份有限公司,39014517
2614,東森國際股份有限公司,4964250
2615,萬海航運股份有限公司,11395000
2616,山隆通運股份有限公司,33983853
2617,台灣航業股份有限公司,3564713
2618,長榮航空股份有限公司,23225229
2630,亞洲航空股份有限公司,11381701
2633,台灣高速鐵路股份有限公司,16446274
2634,漢翔航空工業股份有限公司,97160544
2636,台驊國際投資控股股份有限公司,22358734
2637,慧洋海運股份有限公司,25637751
2642,台灣宅配通股份有限公司,70624227
2701,萬華企業股份有限公司,15415013
2702,華園飯店股份有限公司,75560601
2704,國賓大飯店股份有限公司,11636802
2705,六福開發股份有限公司,11081274
2706,第一華僑大飯店股份有限公司,11587957
2707,晶華國際酒店股份有限公司,4268726
2712,遠雄悅來大飯店股份有限公司,23986016
2722,夏都國際開發股份有限公司,89434676
2723,開曼美食達人股份有限公司,39682101
2727,王品餐飲股份有限公司,84630426
2731,雄獅旅行社股份有限公司,4655091
2739,寒舍餐旅管理顧問股份有限公司,70471881
2748,雲品國際酒店股份有限公司,54023418
2801,彰化商業銀行股份有限公司,51811609
2809,京城商業銀行股份有限公司,68921101
2812,台中商業銀行股份有限公司,51816908
2816,旺旺友聯產物保險股份有限公司,3110001
2820,中華票券金融股份有限公司,12198359
2823,中國人壽保險股份有限公司,3434016
2832,台灣產物保險股份有限公司,3557115
2834,臺灣中小企業銀行股份有限公司,3793407
2836,高雄銀行股份有限公司,79854797
2838,聯邦商業銀行股份有限公司,86380802
2841,台灣土地開發股份有限公司,3701104
2845,遠東國際商業銀行股份有限公司,86517096
2849,安泰商業銀行股份有限公司,86928561
2850,新光產物保險股份有限公司,3458403
2851,中央再保險股份有限公司,11081991
2852,第一產物保險股份有限公司,3359109
2855,統一綜合證券股份有限公司,23218183
2867,三商美邦人壽保險股份有限公司,84443471
2880,華南金融控股股份有限公司,70826764
2881,富邦金融控股股份有限公司,3374805
2882,國泰金融控股股份有限公司,70827406
2883,中華開發金融控股股份有限公司,70827383
2884,玉山金融控股股份有限公司,70796305
2885,元大金融控股股份有限公司,70796749
2886,兆豐金融控股股份有限公司,70796754
2887,台新金融控股股份有限公司,80328055
2888,新光金融控股股份有限公司,80328219
2889,國票金融控股股份有限公司,80330257
2890,永豐金融控股股份有限公司,80333183
2891,中國信託金融控股股份有限公司,80333992
2892,第一金融控股股份有限公司,80351999
2897,王道商業銀行股份有限公司,70745361
2901,欣欣大眾市場股份有限公司,11364230
2903,遠東百貨股份有限公司,3521905
2904,匯僑股份有限公司,12195466
2905,三商投資控股股份有限公司,11052709
2906,高林實業股份有限公司,11547230
2908,特力股份有限公司,20795246
2910,統領百貨股份有限公司,20937863
2911,麗嬰房股份有限公司,4377371
2912,統一超商股份有限公司,22555003
2913,台灣農林股份有限公司,7525207
2915,潤泰全球股份有限公司,14053007
2923,鼎固控股有限公司,31896684
2929,淘帝國際控股有限公司,54381224
2936,客思達股份有限公司,47585813
2939,凱羿國際集團股份有限公司,72768516
3002,歐格電子工業股份有限公司,31306250
3003,健和興端子股份有限公司,59276051
3004,豐達科技股份有限公司(原宏達),16095404
3005,神基科技股份有限公司,22099532
3006,晶豪科技股份有限公司,16130280
3008,大立光電股份有限公司,22480876
3010,華立企業股份有限公司,75514419
3011,今皓實業股份有限公司,20950226
3013,晟銘電子科技股份有限公司,4777186
3014,聯陽半導體股份有限公司,84149717
3015,全漢企業股份有限公司,84239055
3016,嘉晶電子股份有限公司,16130388
3017,奇鋐科技股份有限公司,86427715
3018,同開科技工程股份有限公司,96924451
3019,亞洲光學股份有限公司,55921894
3021,鴻名企業股份有限公司,84274833
3022,威強電工業電腦股份有限公司,97445303
3023,信邦電子股份有限公司,23542766
3024,憶聲電子股份有限公司,44955117
3025,星通資訊股份有限公司,22099863
3026,禾伸堂企業股份有限公司,20891326
3027,盛達電業股份有限公司,33659498
3028,增你強股份有限公司,12401698
